column	label	type	options	required	searchable	showInCard	order
Бренд	Бренд	text		TRUE	TRUE	TRUE	1
Категория	Категория	multiselect	Одежда, Верхняя одежда, Обувь, Сумки, Аксессуары, Нижнее белье	TRUE	TRUE	TRUE	2
Для кого	Для кого	multiselect	Для женщин, Для мужчин	FALSE	TRUE	TRUE	3
Ценовой сегмент	Ценовой сегмент	select	1, 2, 3, 4, 5	FALSE	FALSE	TRUE	4
Теги	Теги	multiselect	Кэжуал, Деловой стиль, Ледилайк, Аутдор, Ворквир, Авангард	FALSE	TRUE	TRUE	5
Характеристика	Характеристика	select	Базовое, Акцентное	FALSE	TRUE	TRUE	6
Город	Город	select	Москва, Петербург, Екатеринбург, Нижний Новгород	FALSE	TRUE	TRUE	7
Страна	Страна	select	Российский бренд	FALSE	TRUE	TRUE	8
Есть свое производство	Есть своё производство	bool	да	FALSE	FALSE	TRUE	9
Ручная работа	Ручная работа	bool	да	FALSE	FALSE	TRUE	10
Ссылка	Сайт	url		FALSE	TRUE	TRUE	11
Год основания	Год основания	number		FALSE	FALSE	TRUE	12
